title,avg_rating,rating_count,bias_score,is_underserved
Trinity and Beyond (1995),3.57,98,-0.05,0
Tromeo and Juliet (1996),2.96,132,-0.47,0
Cannibal! The Musical (a.k.a. Alferd Packer: The Musical) (1996),3.39,221,-0.22,0
"Hunters, The (Jägarna) (1996)",3.15,66,-0.28,0
Drifting Clouds (Kauas pilvet karkaavat) (1996),3.81,379,-0.02,0
"Late Shift, The (1996)",3.1,78,-0.32,0
"Pretty Village, Pretty Flame (Lepa sela lepo gore) (1996)",3.79,53,0.09,1
Pusher (1996),3.73,602,-0.07,0
Freakin' Beautiful World (Sairaan kaunis maailma) (1997),3.02,45,-0.31,0
"Boxer, The (1997)",3.44,286,-0.21,0
"Brave, The (1997)",3.16,57,-0.27,0
Gummo (1997),3.62,730,-0.12,0
Mean Guns (1997),2.79,31,-0.43,0
Men with Guns (1997),3.47,43,-0.08,0
Nirvana (1997),3.39,144,-0.2,0
Dance with the Devil (Perdita Durango) (1997),3.3,66,-0.2,0
Safe House (1998),3.18,52,-0.25,0
"Sick: The Life & Death of Bob Flanagan, Supermasochist (1997)",3.59,44,0.02,1
Beowulf (1999),2.56,156,-0.62,0
From Dusk Till Dawn 3: The Hangman's Daughter (1999),2.39,67,-0.64,0
"Interview, The (1998)",3.64,291,-0.07,0
RKO 281 (1999),3.43,113,-0.16,0
"Curve, The (Dead Man's Curve) (1998)",2.97,33,-0.37,0
Gia (1998),3.39,702,-0.26,0
Thursday (1998),3.66,289,-0.07,0
Wavelength (1967),2.88,41,-0.42,0
Who Am I? (Wo shi shei) (1998),3.5,490,-0.18,0
"Kingdom II, The (Riget II) (1997)",3.98,290,0.02,1
Rogue Trader (1999),3.31,97,-0.21,0
Breast Men (1997),2.59,69,-0.57,0
Bang Boom Bang - Ein todsicheres Ding (1999),3.55,59,-0.02,0
"Pentagon Wars, The (1998)",3.53,102,-0.06,0
Two Hands (1999),3.58,192,-0.08,0
The Sinners of Hell (1960),3.22,59,-0.24,0
Flowers of Shanghai (1998),3.57,41,0.02,1
"Hole, The (Dong) (1998)",3.75,75,0.04,1
Of Freaks and Men (Pro urodov i lyudey) (1998),3.35,67,-0.17,0
Lady Snowblood (Shurayukihime) (1973),3.58,329,-0.1,0
"Tough Ones, The (Häjyt) (1999)",3.42,58,-0.12,0
Bleeder (1999),3.45,68,-0.12,0
Dark Portals: The Chronicles of Vidocq  (Vidocq) (2001),3.37,215,-0.23,0
"4th Floor, The (1999)",2.98,44,-0.39,0
Pitkä kuuma kesä (1999),3.1,109,-0.34,0
"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",4.04,1787,-0.0,0
He Died With a Felafel in His Hand (2001),3.73,86,0.03,1
Something Is Happening (Kuch Kuch Hota Hai) (1998),3.62,184,-0.06,0
Venus Beauty Institute (Vénus beauté) (1999),3.15,46,-0.25,0
Cherry Falls (2000),2.64,104,-0.58,0
Joseph and the Amazing Technicolor Dreamcoat (1999),3.25,55,-0.22,0
In July (Im Juli) (2000),3.85,265,0.01,1
Joan of Arc (1999),3.06,129,-0.37,0
Kirikou and the Sorceress (Kirikou et la sorcière) (1998),3.67,309,-0.07,0
After the Rain (Ame agaru) (1999) ,3.73,33,0.1,1
"Prophecy 3: The Ascent, The (2000)",2.58,56,-0.55,0
Taxi 2 (2000),3.33,907,-0.31,0
Peculiarities of the National Fishing (Osobennosti natsionalnoy rybalki) (1998),3.13,67,-0.29,0
Katsastus (1988),3.46,115,-0.15,0
Radiohead: Meeting People Is Easy (1998),3.46,45,-0.09,0
"Humanité, L' (1999)",3.38,45,-0.12,0
Guest House Paradiso (1999),2.94,63,-0.43,0
If These Walls Could Talk 2 (2000),3.56,93,-0.05,0
"Wind Will Carry Us, The (Bad ma ra khahad bord) (1999)",3.65,156,-0.04,0
Water Drops on Burning Rocks (2000),3.25,56,-0.21,0
"Tracker, The (2002)",3.44,33,-0.07,0
2046 (2004),3.67,1786,-0.12,0
Bruiser (2000),2.5,33,-0.54,0
Taboo (Gohatto) (1999),3.53,154,-0.08,0
Running Out of Time (Am zin) (1999),3.75,48,0.08,1
Chasing Sleep (2000),3.02,33,-0.28,0
"Nameless, The (Los sin nombre) (1999)",2.43,36,-0.58,0
"Debt, The (Dlug) (1999)",3.7,48,0.06,1
Female Prisoner #701: Scorpion (Joshuu 701-gô: Sasori) (1972),3.48,73,-0.12,0
Female Convict Scorpion: Jailhouse 41 (Joshuu sasori: Dai-41 zakkyo-bô) (1972),3.25,50,-0.2,0
Bartleby (2001),3.19,40,-0.22,0
Restless (Levottomat) (2000),2.39,95,-0.67,0
Suzhou River (Suzhou he) (2000),3.72,44,0.07,1
6ixtynin9 (Ruang Talok 69) (1999),3.27,79,-0.22,0
Audition (Ôdishon) (1999),3.62,2203,-0.15,0
Devdas (2002),3.47,132,-0.16,0
Mimic 2 (2001),2.31,87,-0.68,0
Paradise Lost 2: Revelations (2000),3.78,284,-0.01,0
Sound and Fury (2000),3.76,31,0.13,1
The Hole (2001),3.16,493,-0.38,0
Revolutionary Girl Utena: Adolescence of Utena (a.k.a. Revolutionary Girl Utena the Movie) (Shoujo kakumei Utena: Adolescence mokushiroku) (1999),3.97,58,0.11,1
Good Advice (2001),3.02,60,-0.33,0
Spiral (2000),3.03,171,-0.39,0
Old Men in New Cars (Gamle mænd i nye biler) (2002),3.51,72,-0.05,0
"Sometimes Happiness, Sometimes Sorrow (Kabhi Khushi Kabhie Gham) (2001)",3.45,215,-0.19,0
"River, The (Joki) (2001)",3.41,50,-0.12,0
Werckmeister Harmonies (Werckmeister harmóniák) (2000),3.92,317,0.01,1
Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002),3.52,744,-0.16,0
Daria: Is It Fall Yet? (2000),3.67,243,-0.05,0
Late Night Shopping (2001),3.58,96,-0.04,0
61* (2001),3.65,254,-0.07,0
"Tunnel, The (Tunnel, Der) (2001)",3.77,251,-0.01,0
"Laramie Project, The (2002)",3.53,259,-0.11,0
Run Ronnie Run (2002),2.91,95,-0.47,0
Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),3.8,793,-0.05,0
Dagon (2001),3.12,306,-0.39,0
Ripley's Game (2002),3.28,381,-0.3,0
Jalla! Jalla! (2000),3.53,533,-0.14,0
"O Auto da Compadecida (Dog's Will, A) (2000)",4.1,273,0.07,1
"Accidental Spy, The (Dak miu mai shing) (2001)",3.0,155,-0.47,0
"Adversary, The (L'adversaire) (2002)",3.41,32,-0.08,0
"Beautiful Country, The (2004)",3.62,105,-0.03,0
Darkness (2002),2.57,313,-0.65,0
Blood: The Last Vampire (2000),3.32,383,-0.28,0
Blueberry (2004),2.89,138,-0.5,0
"Godzilla, Mothra, and King Ghidorah: Giant Monsters All-Out Attack (Gojira, Mosura, Kingu Gidorâ: Daikaijû sôkôgeki) (Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack) (2001)",3.16,55,-0.27,0
My Little Eye (2002),2.81,95,-0.51,0
Millennium Mambo (2001),3.74,76,0.04,1
American Psycho II: All American Girl (2002),2.03,215,-0.76,0
Ali G Indahouse (2002),3.04,1019,-0.46,0
Dead or Alive 2: Tôbôsha (2000),3.02,44,-0.31,0
Cube 2: Hypercube (2002),2.97,1341,-0.56,0
Pistol Opera (Pisutoru opera) (2001),3.37,30,-0.09,0
Stark Raving Mad (2002),3.07,37,-0.27,0
Pulse (Kairo) (2001),3.37,418,-0.26,0
"Lost Battalion, The (2001)",3.37,50,-0.14,0
Hukkle (2002),3.44,35,-0.07,0
Carolina (2005),3.08,88,-0.34,0
Dog Days (Hundstage) (2001),3.53,93,-0.06,0
Balzac and the Little Chinese Seamstress (Xiao cai feng) (2002),3.65,73,0.01,1
D.C.H. (Dil Chahta Hai) (2001),3.79,213,0.0,1
My Sassy Girl (Yeopgijeogin geunyeo) (2001),3.76,639,-0.05,0
"Gathering, The (2002)",2.58,67,-0.57,0
"Warrior, The (2001)",3.21,56,-0.24,0
Nothing (2003),3.15,139,-0.33,0
Undertaking Betty (Plots with a View) (2002),3.23,45,-0.21,0
Waterboys (2001),3.3,57,-0.19,0
Absolon (2003),2.26,34,-0.61,0
Dead or Alive: Final (2002),2.55,30,-0.5,0
Hell House (2001),3.48,60,-0.1,0
Fubar (2002),3.52,158,-0.09,0
"Happiness of the Katakuris, The (Katakuri-ke no kôfuku) (2001)",3.46,380,-0.21,0
Sex Is Comedy (2002),2.82,77,-0.49,0
"Rage in Placid Lake, The (2003)",3.47,57,-0.1,0
Dead End (2003),3.24,374,-0.33,0
Pure (2002),2.79,40,-0.45,0
Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),3.81,1955,-0.07,0
Jesus Christ Vampire Hunter (2001),2.26,39,-0.62,0
"Man of the Year, The (O Homem do Ano) (2003)",3.42,38,-0.09,0
Suicide Club (Jisatsu saakuru) (2001),3.41,528,-0.25,0
Immortel (ad vitam) (Immortal) (2004),3.11,447,-0.4,0
Tiptoes (2003),2.0,38,-0.67,0
"Sound of Thunder, A (2005)",2.4,370,-0.73,0
Fear and Trembling (Stupeur et tremblements) (2003),3.52,79,-0.05,0
Oasis (2002),3.68,122,-0.01,0
Cremaster 3 (2002),3.17,30,-0.21,0
Herr Lehmann (2003),3.56,136,-0.07,0
Twin Sisters (De tweeling) (2002),3.44,34,-0.07,0
Upswing (Nousukausi) (2003),3.27,81,-0.22,0
Pahat pojat (2003),2.75,113,-0.53,0
Remember Me (Ricordati di me) (2003),3.23,52,-0.22,0
Soldier's Girl (2003),3.67,63,0.02,1
Tipping the Velvet (2002),3.71,141,-0.01,0
Bright Young Things (2003),3.18,200,-0.33,0
Alien Hunter (2003),2.54,38,-0.53,0
"Animatrix, The (2003)",3.66,5425,-0.15,0
"Brown Bunny, The (2003)",2.86,268,-0.54,0
As If I Didn't Exist (Elina - Som om jag inte fanns) (2002),3.53,96,-0.06,0
11:14 (2003),3.55,1007,-0.16,0
Bring It On Again (2004),2.16,337,-0.78,0
"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les) (2004)",3.04,306,-0.42,0
Nicotina (2003),3.52,65,-0.04,0
Iron Jawed Angels (2004),3.64,50,0.03,1
Evil (Ondskan) (2003),3.71,728,-0.08,0
Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),2.42,266,-0.72,0
Lemony Snicket's A Series of Unfortunate Events (2004),3.29,7153,-0.37,0
Naked Weapon (Chek law dak gung) (2002),2.87,59,-0.45,0
Bukowski: Born into This (2003),3.34,67,-0.17,0
"Green Butchers, The (Grønne slagtere, De) (2003)",3.74,286,-0.04,0
Pearls and Pigs (Helmiä ja sikoja) (2003),3.17,68,-0.27,0
Levottomat 3 (2004),1.7,41,-0.71,0
"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",3.78,2548,-0.09,0
Last Life in the Universe (Ruang rak noi nid mahasan) (2003),3.78,427,-0.03,0
Hitler: The Rise of Evil (2003),3.33,140,-0.23,0
Head-On (Gegen die Wand) (2004),3.92,1044,-0.03,0
Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004),3.81,2184,-0.08,0
Kal Ho Naa Ho (2003),3.73,173,-0.01,0
"Cat Returns, The (Neko no ongaeshi) (2002)",3.73,1882,-0.11,0
In My Country (a.k.a. Country of My Skull) (2004),3.08,38,-0.27,0
Unstoppable (2004),2.69,77,-0.54,0
Take My Eyes (Te doy mis ojos) (2003),3.56,54,-0.01,0
"Cathedral, The (Katedra) (2002)",3.4,112,-0.17,0
Blind Shaft (Mang jing) (2003),3.38,34,-0.1,0
"Twilight Samurai, The (Tasogare Seibei) (2002)",3.93,925,-0.03,0
Vampire Effect (The Twins Effect) (Chin gei bin) (2003),2.68,37,-0.49,0
"Far Side of the Moon, The (Face cachée de la lune, La) (2003)",3.26,33,-0.15,0
"Facing Windows (Finestra di fronte, La) (2003)",3.49,118,-0.15,0
Ginger Snaps: Unleashed (2004),3.27,251,-0.28,0
'Salem's Lot (2004),3.11,202,-0.37,0
Foolproof (2003),3.39,104,-0.18,0
"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood (2003)",3.46,79,-0.13,0
When the Last Sword is Drawn (Mibu gishi den) (2003),3.66,50,0.04,1
2LDK (2003),3.27,46,-0.18,0
Trauma (2004),2.49,46,-0.6,0
Intimate Strangers (Confidences trop intimes) (2004),3.63,147,-0.04,0
Ju-on: The Grudge (2002),3.37,1384,-0.3,0
Old Boy (2003),4.09,17878,-0.03,0
Red Lights (Feux rouges) (2004),3.3,67,-0.2,0
Ginger Snaps Back: The Beginning (2004),3.0,199,-0.48,0
"Lost Embrace (Abrazo partido, El) (2004)",3.27,43,-0.18,0
One Missed Call (Chakushin ari) (2003),3.03,261,-0.41,0
Inuyasha the Movie: The Castle Beyond the Looking Glass (2002),3.34,46,-0.14,0
"Jacket, The (2005)",3.58,2443,-0.17,0
Millions (2004),3.56,1239,-0.16,0
"Saddest Music in the World, The (2003)",3.34,242,-0.25,0
Starship Troopers 2: Hero of the Federation (2004),2.01,564,-0.81,0
"Man Who Copied, The (Homem Que Copiava, O) (2003)",3.75,169,-0.01,0
Ju-on: The Grudge 2 (2003),3.28,120,-0.24,0
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),3.75,502,-0.06,0
Ong-Bak: The Thai Warrior (Ong Bak) (2003),3.59,2126,-0.16,0
Infernal Affairs 2 (Mou gaan dou II) (2003),3.67,240,-0.05,0
"Sea Inside, The (Mar adentro) (2004)",3.91,2237,-0.05,0
Lucky 7 (2003),3.19,39,-0.22,0
Spanglish (2004),3.18,3675,-0.43,0
Buddy (2003),3.3,47,-0.17,0
Festival Express (2003),3.56,104,-0.05,0
"Chorus, The (Choristes, Les) (2004)",3.95,2013,-0.05,0
Saints and Soldiers (2003),3.46,447,-0.22,0
"Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die) (2003)",3.75,315,-0.04,0
"Interpreter, The (2005)",3.31,2596,-0.34,0
Open Water (2003),2.78,1146,-0.63,0
Running On Karma (Daai Zek Lou) (2003),3.24,31,-0.17,0
Touch of Pink (2004),3.37,122,-0.2,0
Infernal Affairs III (Mou gaan dou III: Jung gik mou gaan) (2003),3.3,101,-0.22,0
"Memory of a Killer, The (Zaak Alzheimer, De) (2003)",3.54,186,-0.09,0
"Bobby Jones, Stroke of Genius (2004)",3.32,74,-0.2,0
Layer Cake (2004),3.74,5383,-0.12,0
Silver City (2004),2.89,139,-0.5,0
"Return, The (Vozvrashcheniye) (2003)",3.96,928,-0.02,0
Flight of the Phoenix (2004),2.97,1026,-0.55,0
Mean Creek (2004),3.56,929,-0.15,0
"Ring Two, The (2005)",2.62,1859,-0.7,0
"Gospel of John, The (2003)",3.67,43,0.06,1
Machuca (2004),3.77,174,0.01,1
"Corporation, The (2003)",3.89,2006,-0.05,0
Game Over: Kasparov and the Machine (2003),3.33,48,-0.15,0
"Yes Men, The (2003)",3.59,499,-0.12,0
"Fond Kiss, A (Ae Fond Kiss...) (2004)",3.46,131,-0.16,0
Bummer (Bumer) (2003),3.02,93,-0.36,0
As it is in Heaven (Så som i himmelen) (2004),3.79,290,-0.01,0
Lost Boys of Sudan (2003),3.78,34,0.12,1
She Hate Me (2004),2.7,92,-0.55,0
Azumi (2003),3.24,254,-0.32,0
In My Father's Den (2004),3.71,205,-0.03,0
Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo) (2004),3.77,620,-0.05,0
Something the Lord Made (2004),3.86,350,-0.0,0
Metallica: Some Kind of Monster (2004),3.46,999,-0.25,0
Going the Distance (2004),2.82,55,-0.47,0
Redemption: The Stan Tookie Williams Story (2004),3.31,62,-0.18,0
Schultze Gets the Blues (2003),3.34,145,-0.22,0
Born into Brothels (2004),3.84,853,-0.04,0
DiG! (2004),3.87,467,-0.01,0
Riding Giants (2004),3.86,381,-0.01,0
Word Wars (2004),3.65,126,-0.03,0
When Will I Be Loved (2004),2.6,91,-0.58,0
Quiet as a Mouse (Muxmäuschenstill) (2004),3.31,36,-0.14,0
What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004),2.75,759,-0.62,0
"Scanner Darkly, A (2006)",3.61,5898,-0.17,0
Casshern (2004),3.08,329,-0.41,0
Windstruck (Nae yeojachingureul sogae habnida) (2004),3.12,40,-0.26,0
Outfoxed: Rupert Murdoch's War on Journalism (2004),3.71,705,-0.08,0
Jerry Seinfeld: 'I'm Telling You for the Last Time' (1998),3.51,161,-0.09,0
Noel (2004),2.88,91,-0.48,0
In Enemy Hands (2004),3.1,30,-0.24,0
Chimes at Midnight (Campanadas a medianoche) (1965),3.6,185,-0.07,0
Million Dollar Baby (2004),3.82,19036,-0.1,0
"Narrow Margin, The (1952)",3.61,180,-0.06,0
Hell Is for Heroes (1962),3.37,70,-0.16,0
Vincent & Theo (1990),3.42,48,-0.11,0
Some Came Running (1958),3.36,52,-0.15,0
Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),3.59,249,-0.09,0
"Goodbye, Dragon Inn (Bu san) (2003)",3.6,124,-0.04,0
Hotel Rwanda (2004),3.97,14757,-0.08,0
Sitcom (1998),3.4,40,-0.1,0
Blood and Black Lace (Sei donne per l'assassino) (1964),3.32,152,-0.24,0
Hellraiser: Inferno (2000),2.57,154,-0.62,0
3-Iron (Bin-jip) (2004),3.95,1690,-0.04,0
"Life Aquatic with Steve Zissou, The (2004)",3.72,10751,-0.14,0
"Aviator, The (2004)",3.61,12202,-0.18,0
"Phantom of the Opera, The (2004)",3.52,3208,-0.19,0
Beyond the Sea (2004),3.15,328,-0.37,0
"Woodsman, The (2004)",3.61,1200,-0.14,0
In Good Company (2004),3.36,2252,-0.31,0
Meet the Fockers (2004),3.04,9554,-0.51,0
"Assassination of Richard Nixon, The (2004)",3.39,660,-0.26,0
"Love Song for Bobby Long, A (2004)",3.58,535,-0.12,0
"Merchant of Venice, The (2004)",3.55,880,-0.15,0
"River, The (He liu) (1997)",4.08,33,0.2,1
Rebels of the Neon God (Qing shao nian nuo zha) (1992),3.98,100,0.08,1
Kamikaze Girls (Shimotsuma monogatari) (2004),3.69,203,-0.04,0
Fat Albert (2004),2.02,397,-0.79,0
In the Realms of the Unreal (2004),3.69,201,-0.03,0
White Noise (2005),2.7,1154,-0.66,0
Underclassman (2005),2.73,46,-0.49,0
"Upside of Anger, The (2005)",3.36,797,-0.29,0
"Grateful Dead Movie, The (1977)",3.28,67,-0.2,0
Last Train from Gun Hill (1959),3.29,68,-0.2,0
"Naked Jungle, The (1954)",3.08,44,-0.29,0
"Handful of Dust, A (1988)",3.27,44,-0.18,0
Wetherby (1985),3.11,31,-0.24,0
Powwow Highway (1989),3.7,79,0.02,1
Little Miss Marker (1980),3.03,33,-0.28,0
Little Miss Marker (1934),3.33,68,-0.18,0
Sweet Liberty (1986),2.72,81,-0.54,0
"Phantom of the Opera, The (1989)",2.79,142,-0.54,0
I Remember Mama (1948),3.68,133,-0.02,0
"Last Horror Movie, The (2003)",2.93,81,-0.45,0
Testament (1983),3.6,223,-0.08,0
Smooth Talk (1985),3.08,69,-0.32,0
Hell's Angels (1930),3.38,64,-0.15,0
Out Cold (1989),2.92,49,-0.42,0
Son of Godzilla (Kaijûtô no kessen: Gojira no musuko) (1967),2.46,127,-0.67,0
Man Trouble (1992),2.07,52,-0.68,0
Battles Without Honor & Humanity (Jingi naki tatakai) (1973),3.62,99,-0.03,0
Stander (2003),3.45,208,-0.19,0
Hester Street (1975),3.46,62,-0.11,0
Mikey and Nicky (1976),3.63,149,-0.04,0
"Bigamist, The (1953)",3.17,45,-0.24,0
Imaginary Heroes (2004),3.5,242,-0.15,0
Sergeant York (1941),3.84,498,-0.02,0
Ruby & Quentin (Tais-toi!) (2003),3.62,272,-0.08,0
Deathwatch (2002),3.07,107,-0.35,0
Day of the Wacko (Dzien swira) (2002),3.72,150,-0.01,0
Wizards (1977),3.19,271,-0.34,0
For Love and Gold (L'armata Brancaleone) (1966),3.56,35,0.03,1
Abbott and Costello Meet the Invisible Man (1951),3.17,133,-0.31,0
Abbott and Costello Go to Mars (1953),2.92,49,-0.42,0
"Abbott and Costello Meet the Killer, Boris Karloff (1949)",3.23,70,-0.25,0
"Life and Death of Peter Sellers, The (2004)",3.32,369,-0.28,0
Appleseed (Appurushîdo) (2004),3.44,967,-0.25,0
"Milky Way, The (Voie lactée, La) (1969)",3.55,85,-0.04,0
"Many Adventures of Winnie the Pooh, The (1977)",3.69,801,-0.09,0
Pippi in the South Seas (Pippi Långstrump på de sju haven) (1970),3.24,44,-0.21,0
Pippi on the Run (På rymmen med Pippi Långstrump) (1970),3.25,34,-0.17,0
Elektra (2005),2.37,2365,-0.8,0
Racing Stripes (2005),2.73,348,-0.61,0
Coach Carter (2005),3.68,2349,-0.12,0
"Fighting Sullivans, The (Sullivans, The) (1944)",3.43,50,-0.11,0
Iceman (1984),3.09,196,-0.37,0
Ice Station Zebra (1968),3.2,256,-0.33,0
Boys Town (1938),3.59,170,-0.07,0
Torremolinos 73 (2003),3.3,87,-0.21,0
Shivers (They Came from Within) (1975),3.4,436,-0.24,0
"Star Is Born, A (1976)",2.85,110,-0.5,0
Beastmaster 2: Through the Portal of Time (1991),2.3,41,-0.62,0
Rocco and His Brothers (Rocco e i suoi fratelli) (1960),3.9,297,0.01,1
"Mortal Storm, The (1940)",3.5,42,-0.04,0
Christmas in July (1940),3.6,119,-0.05,0
I Married a Witch (1942),3.37,127,-0.2,0
Moolaadé (2004),3.75,106,0.01,1
This Girl's Life (2003),2.82,54,-0.47,0
Memories of Murder (Salinui chueok) (2003),4.05,2894,-0.01,0
"Chase, The (1994)",2.87,274,-0.54,0
Hobson's Choice (1954),3.78,150,0.02,1
Summer Storm (Sommersturm) (2004),3.6,175,-0.06,0
"Downfall (Untergang, Der) (2004)",4.0,7504,-0.07,0
Assault on Precinct 13 (2005),3.1,1655,-0.45,0
Are We There Yet? (2005),2.37,625,-0.76,0
Alone in the Dark (2005),1.5,624,-0.89,0
Hide and Seek (2005),2.98,1563,-0.56,0
Boogeyman (2005),2.19,553,-0.79,0
"Wedding Date, The (2005)",3.31,1262,-0.33,0
Rory O'Shea Was Here (Inside I'm Dancing) (2004),3.83,467,-0.02,0
Nobody Knows (Dare mo shiranai) (2004),3.96,724,-0.02,0
Employee of the Month (2004),2.93,249,-0.51,0
Magic in the Water (1995),2.64,35,-0.5,0
"Great White Hope, The (1970)",3.21,81,-0.27,0
"Professionals, The (1966)",3.56,250,-0.1,0
"Devil and Miss Jones, The (1941)",3.74,43,0.08,1
Salem's Lot (1979),3.32,364,-0.28,0
"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",3.89,311,0.01,1
"Bitter Tears of Petra von Kant, The (bitteren Tränen der Petra von Kant, Die) (1972)",3.74,148,-0.0,0
Beau Geste (1939),3.66,202,-0.05,0
Overnight (2003),3.42,109,-0.17,0
"Trou, Le (Hole, The) (Night Watch, The) (1960)",4.04,360,0.05,1
Lessons of Darkness (Lektionen in Finsternis) (1992),3.76,205,-0.0,0
Fata Morgana (1971),3.25,66,-0.23,0
Double Dragon (1994),2.09,223,-0.76,0
Mac and Me (1988),1.94,211,-0.8,0
Rosenstrasse (2003),3.29,60,-0.19,0
Casque d'or (1952),3.64,101,-0.02,0
Hands Off the Loot (Touchez pas au grisbi) (1954),3.75,180,-0.01,0
"Matchmaker, The (1958)",3.35,49,-0.15,0
Easy (2003),2.56,48,-0.54,0
El Cid (1961),3.41,208,-0.2,0
"Taxing Woman, A (Marusa no onna) (1987)",3.73,65,0.04,1
"Bunker, The (2001)",2.73,39,-0.48,0
2009: Lost Memories (2002),2.88,45,-0.42,0
Howl's Moving Castle (Hauru no ugoku shiro) (2004),4.12,16471,-0.03,0
Steamboy (Suchîmubôi) (2004),3.39,954,-0.28,0
Gorgeous (Boh lee chun) (1999),3.07,95,-0.35,0
"Blade, The (Dao) (1995)",3.23,43,-0.21,0
"Nomi Song, The (2004)",3.7,46,0.06,1
Hitch (2005),3.35,11403,-0.34,0
Pooh's Heffalump Movie (2005),2.97,261,-0.5,0
Inside Deep Throat (2005),3.34,326,-0.26,0
Bride & Prejudice (2004),3.26,919,-0.34,0
Constantine (2005),3.49,11595,-0.29,0
Son of the Mask (2005),1.24,847,-0.91,0
Because of Winn-Dixie (2005),3.15,297,-0.37,0
Turtles Can Fly (Lakposhtha hâm parvaz mikonand) (2004),3.7,237,-0.04,0
Beautiful Boxer (2003),3.54,84,-0.05,0
Pauly Shore Is Dead (2003),2.19,165,-0.74,0
Bunny Lake Is Missing (1965),3.48,146,-0.16,0
The Boyfriend School (1990),2.44,67,-0.63,0
Night and the City (1950),3.81,274,-0.01,0
Frozen Land (Paha maa) (2005),3.52,189,-0.1,0
Night Watch (Nochnoy dozor) (2004),3.34,1723,-0.31,0
Dot the I (2003),3.34,179,-0.23,0
Topper Returns (1941),3.31,37,-0.14,0
Sons of the Desert (1933),3.48,96,-0.13,0
Morocco (1930),3.44,109,-0.16,0
Man of the House (2005),2.82,364,-0.57,0
Samson and Delilah (1949),3.18,39,-0.22,0
Kung Fu Hustle (Gong fu) (2004),3.77,6516,-0.11,0
"Five People You Meet in Heaven, The (2004)",3.4,92,-0.16,0
"No Retreat, No Surrender (1986)",2.8,87,-0.5,0
"ChubbChubbs!, The (2002)",3.26,74,-0.22,0
Travellers and Magicians (2003),3.64,46,0.04,1
Zelary (2003),3.83,178,0.02,1
Dr. Giggles (1992),2.38,103,-0.67,0
"Seven-Per-Cent Solution, The (1976)",3.31,103,-0.22,0
"Three Musketeers, The (1973)",3.61,778,-0.12,0
Masculin Féminin (1966),3.71,256,-0.04,0
Fallen Angel (1945),3.22,55,-0.23,0
"Four Feathers, The (1939)",3.53,180,-0.09,0
"Phone Box, The (Cabina, La) (1972)",3.59,76,-0.02,0
Curse of the Demon (Night of the Demon) (1957),3.59,202,-0.07,0
Control (Kontroll) (2003),3.8,655,-0.04,0
Beautiful City (Shah-re ziba) (2004),4.03,33,0.2,1
5x2 (2004),3.28,181,-0.26,0
Tart (2001),2.73,30,-0.45,0
Bed & Board (Domicile conjugal) (1970),3.59,107,-0.04,0
Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null) (1948),3.71,188,-0.03,0
Tombs of the Blind Dead (La noche del terror ciego) (1972),2.97,34,-0.37,0
"Sicilian Clan, The (Clan des Siciliens, Le) (1969)",3.53,48,-0.01,0
Love Me Tonight (1932),3.5,64,-0.07,0
"Hole in My Heart, A (Hål i mitt hjärta, Ett) (2004)",2.88,61,-0.45,0
Tyler Perry's Diary of a Mad Black Woman (2005),3.06,241,-0.4,0
Cursed (2005),2.46,447,-0.73,0
Loop the Loop (Up and Down) (Horem pádem) (2004),3.14,37,-0.24,0
"Pacifier, The (2005)",2.75,1831,-0.67,0
Be Cool (2005),2.76,1378,-0.64,0
Gunner Palace (2004),3.24,145,-0.29,0
Walk on Water (2004),3.76,245,-0.01,0
Hostage (2005),3.29,1869,-0.35,0
"Laughing Policeman, The (1973)",3.09,43,-0.28,0
Class Action (1991),3.11,188,-0.37,0
"Cat and the Canary, The (1927)",3.31,54,-0.17,0
Godzilla vs. The Sea Monster (Gojira-Ebira-Mosura: Nankai no daiketto) (1966),2.68,136,-0.58,0
Godzilla vs. Mechagodzilla II (Gojira VS Mekagojira) (1993),2.95,162,-0.48,0
Crush (1992),2.76,55,-0.48,0
Rendez-vous (1985),3.0,33,-0.32,0
"Oh, God! You Devil (1984)",2.5,218,-0.64,0
God Is Brazilian (Deus É Brasileiro) (2003),2.95,74,-0.44,0
Blackball (2003),2.6,69,-0.56,0
